id;name;extension;size;doc;doc_content_type;thumbnail;thumbnail_content_type;status;is_folder;version_controlled;version;owner;responsible
1;North Carolina;Associate Bedfordshire;26117;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;IN_PROGRESS;true;true;98582;Buckinghamshire El Salvador Colon US Dollar;back-end Auto Loan Account Handcrafted
2;Tuna;Lempira program orchid;7580;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;IN_PROGRESS;false;true;52465;redundant program Wooden;Concrete Generic Kansas
3;Maryland;value-added;99509;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;RELEASED;true;false;47898;program back up optical;microchip XML Wooden
4;Inlet Sleek Metal Chair;primary SSL Saudi Arabia;21634;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;INVALID;false;false;66183;virtual scale Home;Ball Generic
5;Senior Handmade Soft Gloves;alarm Fully-configurable;85332;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;INVALID;false;false;46789;Sleek TCP;Electronics
6;Strategist Refined Frozen Cheese;ivory User-friendly;52047;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;RELEASED;false;false;67638;neural Money Market Account;Practical
7;RAM;Generic;63293;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;IN_PROGRESS;false;true;45141;Applications;Home
8;Trafficway;Rupiah partnerships;26852;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;INVALID;false;true;8893;content input Rufiyaa;bus
9;Dynamic Malagasy Ariary;maroon;93117;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;RELEASED;false;false;71525;system utilize;Functionality Strategist Congo
10;Ergonomic Wooden Mouse XML Sleek;navigating;74862;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;INVALID;false;true;49289;tertiary;bluetooth
